organic,anion,cation,hse06,gga,organic-homo,organic-lumo,organic-dipole,organic-atomization,organic-r_gyr,organic-total_mass,anion-electron_affinity,anion-ionization_energy,anion-mass,anion-electronegativity,cation-electron_affinity,cation-ionization_energy,cation-mass,cation-electronegativity
isopropylammonium,Cl,Sn,3.4425,2.6468,-0.53343,-0.19317,4.0261,-2.06089548654,1.4154442895248487,60.12000000000002,3.612724,12.96764,35.45,3.0,1.11207,7.3439,118.71,1.9
isopropylammonium,Br,Sn,2.7862,2.0577,-0.53343,-0.19317,4.0261,-2.06089548654,1.4154442895248487,60.12000000000002,3.363588,11.81381,79.904,2.8,1.11207,7.3439,118.71,1.9
isopropylammonium,I,Sn,2.0718,1.383,-0.53343,-0.19317,4.0261,-2.06089548654,1.4154442895248487,60.12000000000002,3.059046,10.45126,126.9,2.5,1.11207,7.3439,118.71,1.9
isopropylammonium,F,Pb,5.4677,4.137,-0.53343,-0.19317,4.0261,-2.06089548654,1.4154442895248487,60.12000000000002,3.401189,17.42282,18.998,4.0,0.356743,7.41666,207.2,2.33
isopropylammonium,Cl,Pb,3.8219,2.8825,-0.53343,-0.19317,4.0261,-2.06089548654,1.4154442895248487,60.12000000000002,3.612724,12.96764,35.45,3.0,0.356743,7.41666,207.2,2.33
isopropylammonium,Br,Pb,3.183,2.2971,-0.53343,-0.19317,4.0261,-2.06089548654,1.4154442895248487,60.12000000000002,3.363588,11.81381,79.904,2.8,0.356743,7.41666,207.2,2.33
isopropylammonium,I,Pb,2.6193,1.6849,-0.53343,-0.19317,4.0261,-2.06089548654,1.4154442895248487,60.12000000000002,3.059046,10.45126,126.9,2.5,0.356743,7.41666,207.2,2.33
methylammonium,F,Ge,4.7182,3.5371,-0.62338,-0.21297,2.1877,-0.961169867024,0.9240459984180535,32.066,3.401189,17.42282,18.998,4.0,1.232676,7.8994,72.63,2.01
methylammonium,Cl,Ge,2.8141,2.0343,-0.62338,-0.21297,2.1877,-0.961169867024,0.9240459984180535,32.066,3.612724,12.96764,35.45,3.0,1.232676,7.8994,72.63,2.01
methylammonium,Br,Ge,2.2969,1.6035,-0.62338,-0.21297,2.1877,-0.961169867024,0.9240459984180535,32.066,3.363588,11.81381,79.904,2.8,1.232676,7.8994,72.63,2.01
methylammonium,I,Ge,1.9695,1.4025,-0.62338,-0.21297,2.1877,-0.961169867024,0.9240459984180535,32.066,3.059046,10.45126,126.9,2.5,1.232676,7.8994,72.63,2.01
methylammonium,F,Sn,4.3195,3.2677,-0.62338,-0.21297,2.1877,-0.961169867024,0.9240459984180535,32.066,3.401189,17.42282,18.998,4.0,1.11207,7.3439,118.71,1.9
methylammonium,Cl,Sn,2.1551,1.4646,-0.62338,-0.21297,2.1877,-0.961169867024,0.9240459984180535,32.066,3.612724,12.96764,35.45,3.0,1.11207,7.3439,118.71,1.9
methylammonium,Br,Sn,1.7969,1.163,-0.62338,-0.21297,2.1877,-0.961169867024,0.9240459984180535,32.066,3.363588,11.81381,79.904,2.8,1.11207,7.3439,118.71,1.9
methylammonium,I,Sn,1.5456,1.0257,-0.62338,-0.21297,2.1877,-0.961169867024,0.9240459984180535,32.066,3.059046,10.45126,126.9,2.5,1.11207,7.3439,118.71,1.9
methylammonium,F,Pb,4.8755,3.5966,-0.62338,-0.21297,2.1877,-0.961169867024,0.9240459984180535,32.066,3.401189,17.42282,18.998,4.0,0.356743,7.41666,207.2,2.33
methylammonium,Cl,Pb,3.424,2.5313,-0.62338,-0.21297,2.1877,-0.961169867024,0.9240459984180535,32.066,3.612724,12.96764,35.45,3.0,0.356743,7.41666,207.2,2.33
methylammonium,Br,Pb,2.8957,2.0712,-0.62338,-0.21297,2.1877,-0.961169867024,0.9240459984180535,32.066,3.363588,11.81381,79.904,2.8,0.356743,7.41666,207.2,2.33
methylammonium,I,Pb,2.4638,1.7543,-0.62338,-0.21297,2.1877,-0.961169867024,0.9240459984180535,32.066,3.059046,10.45126,126.9,2.5,0.356743,7.41666,207.2,2.33
propylammonium,F,Ge,5.5243,4.3129,-0.49918,-0.19818,6.2339,-2.05499118954,1.602514273659045,60.12000000000002,3.401189,17.42282,18.998,4.0,1.232676,7.8994,72.63,2.01
propylammonium,Cl,Ge,3.6967,2.7957,-0.49918,-0.19818,6.2339,-2.05499118954,1.602514273659045,60.12000000000002,3.612724,12.96764,35.45,3.0,1.232676,7.8994,72.63,2.01
propylammonium,Br,Ge,3.1891,2.3272,-0.49918,-0.19818,6.2339,-2.05499118954,1.602514273659045,60.12000000000002,3.363588,11.81381,79.904,2.8,1.232676,7.8994,72.63,2.01
propylammonium,I,Ge,2.4124,1.6555,-0.49918,-0.19818,6.2339,-2.05499118954,1.602514273659045,60.12000000000002,3.059046,10.45126,126.9,2.5,1.232676,7.8994,72.63,2.01
propylammonium,F,Sn,4.8004,3.6043,-0.49918,-0.19818,6.2339,-2.05499118954,1.602514273659045,60.12000000000002,3.401189,17.42282,18.998,4.0,1.11207,7.3439,118.71,1.9
propylammonium,Cl,Sn,3.2569,2.4002,-0.49918,-0.19818,6.2339,-2.05499118954,1.602514273659045,60.12000000000002,3.612724,12.96764,35.45,3.0,1.11207,7.3439,118.71,1.9
propylammonium,Br,Sn,2.798,1.9877,-0.49918,-0.19818,6.2339,-2.05499118954,1.602514273659045,60.12000000000002,3.363588,11.81381,79.904,2.8,1.11207,7.3439,118.71,1.9
propylammonium,I,Sn,2.0056,1.3516,-0.49918,-0.19818,6.2339,-2.05499118954,1.602514273659045,60.12000000000002,3.059046,10.45126,126.9,2.5,1.11207,7.3439,118.71,1.9
propylammonium,F,Pb,5.2155,3.7495,-0.49918,-0.19818,6.2339,-2.05499118954,1.602514273659045,60.12000000000002,3.401189,17.42282,18.998,4.0,0.356743,7.41666,207.2,2.33
propylammonium,Cl,Pb,3.7596,2.7341,-0.49918,-0.19818,6.2339,-2.05499118954,1.602514273659045,60.12000000000002,3.612724,12.96764,35.45,3.0,0.356743,7.41666,207.2,2.33
propylammonium,Br,Pb,3.144,2.1145,-0.49918,-0.19818,6.2339,-2.05499118954,1.602514273659045,60.12000000000002,3.363588,11.81381,79.904,2.8,0.356743,7.41666,207.2,2.33
propylammonium,I,Pb,2.52,1.6076,-0.49918,-0.19818,6.2339,-2.05499118954,1.602514273659045,60.12000000000002,3.059046,10.45126,126.9,2.5,0.356743,7.41666,207.2,2.33
tetramethylammonium,F,Ge,6.0254,4.7441,-0.57506,-0.16193,0.0,-2.584676869648,1.4986893022669292,74.14699999999999,3.401189,17.42282,18.998,4.0,1.232676,7.8994,72.63,2.01
tetramethylammonium,Cl,Ge,4.4938,3.5046,-0.57506,-0.16193,0.0,-2.584676869648,1.4986893022669292,74.14699999999999,3.612724,12.96764,35.45,3.0,1.232676,7.8994,72.63,2.01
tetramethylammonium,Br,Ge,3.4691,2.6041,-0.57506,-0.16193,0.0,-2.584676869648,1.4986893022669292,74.14699999999999,3.363588,11.81381,79.904,2.8,1.232676,7.8994,72.63,2.01
tetramethylammonium,I,Ge,2.6172,1.9256,-0.57506,-0.16193,0.0,-2.584676869648,1.4986893022669292,74.14699999999999,3.059046,10.45126,126.9,2.5,1.232676,7.8994,72.63,2.01
tetramethylammonium,F,Sn,5.6831,4.4999,-0.57506,-0.16193,0.0,-2.584676869648,1.4986893022669292,74.14699999999999,3.401189,17.42282,18.998,4.0,1.11207,7.3439,118.71,1.9
tetramethylammonium,Cl,Sn,3.8012,2.9327,-0.57506,-0.16193,0.0,-2.584676869648,1.4986893022669292,74.14699999999999,3.612724,12.96764,35.45,3.0,1.11207,7.3439,118.71,1.9
tetramethylammonium,Br,Sn,2.9855,2.2126,-0.57506,-0.16193,0.0,-2.584676869648,1.4986893022669292,74.14699999999999,3.363588,11.81381,79.904,2.8,1.11207,7.3439,118.71,1.9
tetramethylammonium,I,Sn,2.1542,1.546,-0.57506,-0.16193,0.0,-2.584676869648,1.4986893022669292,74.14699999999999,3.059046,10.45126,126.9,2.5,1.11207,7.3439,118.71,1.9
tetramethylammonium,F,Pb,6.3242,4.9344,-0.57506,-0.16193,0.0,-2.584676869648,1.4986893022669292,74.14699999999999,3.401189,17.42282,18.998,4.0,0.356743,7.41666,207.2,2.33
tetramethylammonium,Cl,Pb,3.8987,2.9253,-0.57506,-0.16193,0.0,-2.584676869648,1.4986893022669292,74.14699999999999,3.612724,12.96764,35.45,3.0,0.356743,7.41666,207.2,2.33
tetramethylammonium,Br,Pb,3.186,2.2759,-0.57506,-0.16193,0.0,-2.584676869648,1.4986893022669292,74.14699999999999,3.363588,11.81381,79.904,2.8,0.356743,7.41666,207.2,2.33
tetramethylammonium,I,Pb,2.5415,1.6871,-0.57506,-0.16193,0.0,-2.584676869648,1.4986893022669292,74.14699999999999,3.059046,10.45126,126.9,2.5,0.356743,7.41666,207.2,2.33
trimethylammonium,F,Ge,5.2932,4.0662,-0.58397,-0.18158,0.8595,-2.04561705654,1.3939292926333677,60.12000000000001,3.401189,17.42282,18.998,4.0,1.232676,7.8994,72.63,2.01
trimethylammonium,Cl,Ge,3.8061,2.88,-0.58397,-0.18158,0.8595,-2.04561705654,1.3939292926333677,60.12000000000001,3.612724,12.96764,35.45,3.0,1.232676,7.8994,72.63,2.01
trimethylammonium,Br,Ge,3.2061,2.3621,-0.58397,-0.18158,0.8595,-2.04561705654,1.3939292926333677,60.12000000000001,3.363588,11.81381,79.904,2.8,1.232676,7.8994,72.63,2.01
trimethylammonium,I,Ge,2.5369,1.674,-0.58397,-0.18158,0.8595,-2.04561705654,1.3939292926333677,60.12000000000001,3.059046,10.45126,126.9,2.5,1.232676,7.8994,72.63,2.01
trimethylammonium,F,Sn,4.4192,3.3117,-0.58397,-0.18158,0.8595,-2.04561705654,1.3939292926333677,60.12000000000001,3.401189,17.42282,18.998,4.0,1.11207,7.3439,118.71,1.9
trimethylammonium,Cl,Sn,3.1218,2.2948,-0.58397,-0.18158,0.8595,-2.04561705654,1.3939292926333677,60.12000000000001,3.612724,12.96764,35.45,3.0,1.11207,7.3439,118.71,1.9
trimethylammonium,Br,Sn,2.4938,1.7405,-0.58397,-0.18158,0.8595,-2.04561705654,1.3939292926333677,60.12000000000001,3.363588,11.81381,79.904,2.8,1.11207,7.3439,118.71,1.9
trimethylammonium,I,Sn,1.9374,1.3633,-0.58397,-0.18158,0.8595,-2.04561705654,1.3939292926333677,60.12000000000001,3.059046,10.45126,126.9,2.5,1.11207,7.3439,118.71,1.9
trimethylammonium,F,Pb,4.8213,3.4595,-0.58397,-0.18158,0.8595,-2.04561705654,1.3939292926333677,60.12000000000001,3.401189,17.42282,18.998,4.0,0.356743,7.41666,207.2,2.33
trimethylammonium,Cl,Pb,3.509,2.5224,-0.58397,-0.18158,0.8595,-2.04561705654,1.3939292926333677,60.12000000000001,3.612724,12.96764,35.45,3.0,0.356743,7.41666,207.2,2.33
trimethylammonium,Br,Pb,2.9537,2.0366,-0.58397,-0.18158,0.8595,-2.04561705654,1.3939292926333677,60.12000000000001,3.363588,11.81381,79.904,2.8,0.356743,7.41666,207.2,2.33
trimethylammonium,I,Pb,2.4541,1.5974,-0.58397,-0.18158,0.8595,-2.04561705654,1.3939292926333677,60.12000000000001,3.059046,10.45126,126.9,2.5,0.356743,7.41666,207.2,2.33
